# commit: cff5bb5 (dirty)
# N: 100000  M: 10 (converged=false, min=8, max=10)  mode: in-memory
# epsilon: 0.01  tmax: 15  walkers: 2250000
# algorithm: forward-forward belly (children(u) ∩ parents(v))
# timestamp: 2026-02-19T01:45:31Z
# seed: 42
step,P_vac,dS_vac,P_def,dS_def,P_Gen1,dS_Gen1,P_Gen2,dS_Gen2,P_Gen3,dS_Gen3,P_Anti1,dS_Anti1,Flux_Attr,Flux_Repu,Flux_Attr_Norm,Flux_Repu_Norm,P_Sterile,dS_Sterile,Mass_Gen1,Mass_Gen2,Mass_Gen3,Mass_Anti1,dS_vac_std,dS_def_std,dS_Gen1_std,dS_Gen2_std,dS_Gen3_std,dS_Anti1_std,dS_Sterile_std,Flux_Attr_std,Flux_Repu_std
64,4.194666666666667e-4,0.2496,4.171999999999999e-4,0.1361,4.720000000000000e-5,2.4449,5.275555555555555e-5,3.6064,5.364444444444444e-5,2.3252,6.048888888888889e-5,2.4964,0e0,0e0,0e0,0e0,5.382222222222223e-5,2.6952,4.55,6.48,7.88,4.66,0.347047,0.322945,3.334630,3.482164,3.869770,5.081914,2.561005,0e0,0e0
66,4.199111111111111e-4,0.2069,4.168888888888888e-4,0.2434,4.644444444444444e-5,0.7859,5.102222222222223e-5,2.8427,5.364444444444444e-5,1.4528,5.804444444444444e-5,3.5001,0e0,0e0,0e0,0e0,5.106666666666666e-5,3.1715,4.55,6.48,7.88,4.66,0.490299,0.411594,3.364909,3.028759,3.770861,3.548071,5.099770,0e0,0e0
68,4.168444444444445e-4,0.4345,4.141333333333334e-4,0.4707,4.608888888888889e-5,3.5993,4.840000000000000e-5,1.4518,5.133333333333334e-5,2.6339,5.440000000000001e-5,2.5109,0e0,0e0,0e0,0e0,4.888888888888888e-5,1.3272,4.55,6.48,7.88,4.66,0.646707,0.422046,3.769996,3.940776,3.299707,4.440777,4.544372,0e0,0e0
70,4.145777777777778e-4,0.3751,4.111555555555556e-4,0.1091,4.177777777777777e-5,1.8001,4.888888888888888e-5,1.4766,4.964444444444445e-5,2.3816,5.391111111111112e-5,3.3578,0e0,0e0,0e0,0e0,4.911111111111111e-5,0.0318,4.55,6.48,7.88,4.66,0.399860,0.313187,3.234457,4.802852,3.725806,3.453359,4.176815,0e0,0e0
72,4.124000000000000e-4,0.3256,4.128444444444444e-4,0.0311,4.377777777777778e-5,0.7740,4.640000000000000e-5,3.5745,4.795555555555556e-5,3.0935,4.942222222222223e-5,2.2023,0e0,0e0,0e0,0e0,4.884444444444445e-5,5.4017,4.55,6.48,7.88,4.66,0.531242,0.541851,4.294282,3.719812,4.987956,2.780484,3.714206,0e0,0e0
74,4.108444444444444e-4,0.2641,4.108000000000000e-4,0.2838,4.088888888888889e-5,3.6272,4.426666666666666e-5,3.9999,4.555555555555555e-5,5.4573,5.071111111111111e-5,0.6375,0e0,0e0,0e0,0e0,4.226666666666667e-5,5.1952,4.55,6.48,7.88,4.66,0.356706,0.545157,2.758940,3.888430,5.366486,2.301972,3.925345,0e0,0e0
76,4.094666666666667e-4,0.1606,4.096888888888889e-4,0.1689,3.968888888888889e-5,3.7285,4.164444444444445e-5,1.7565,4.137777777777778e-5,3.3293,4.857777777777778e-5,0.7736,0e0,0e0,0e0,0e0,4.244444444444444e-5,0.2003,4.55,6.48,7.88,4.66,0.387036,0.433333,4.713950,2.833224,4.219511,6.193064,5.867171,0e0,0e0
78,4.091111111111111e-4,0.2590,4.089777777777777e-4,0.2078,3.706666666666667e-5,2.3857,4.226666666666667e-5,-1.9083,4.173333333333334e-5,-0.2088,4.968888888888890e-5,-0.0713,0e0,0e0,0e0,0e0,4.204444444444444e-5,1.4558,4.55,6.48,7.88,4.66,0.479491,0.656009,5.241562,5.155420,7.266330,2.130439,4.018809,0e0,0e0
80,4.067555555555555e-4,0.3710,4.075111111111111e-4,0.0565,3.733333333333334e-5,-0.9009,4.373333333333334e-5,0.8500,4.160000000000001e-5,-0.0426,4.866666666666667e-5,2.8538,0e0,0e0,0e0,0e0,4.088888888888889e-5,2.2610,4.55,6.48,7.88,4.66,0.438712,0.472457,3.372975,2.034414,6.439557,6.389865,6.225809,0e0,0e0
82,4.053333333333333e-4,0.2606,4.084000000000000e-4,0.2376,3.791111111111111e-5,-0.3886,4.137777777777778e-5,3.2499,4.177777777777777e-5,2.2967,4.626666666666667e-5,5.1382,0e0,0e0,0e0,0e0,3.973333333333333e-5,4.0721,4.55,6.48,7.88,4.66,0.442795,0.657492,7.893530,4.700271,3.570616,6.323219,2.929425,0e0,0e0
